intent,button,entities
greet,Saluer,
goodbye,Dire au revoir,
ask_help,Demander de l'aide,
request_transfer,Faire un transfert,
what_is_virtual_card,Info carte virtuelle,
create_virtual_card,Creer une carte virtuelle,
virtual_card_usage,Utilisation carte virtuelle,
what_is_physical_card,Info carte physique,
create_physical_card,Commander une carte physique,
physical_card_usage,Utilisation carte physique,
physical_card_delivery,Livraison carte physique,
fees_info,Infos sur les frais,
check_balance,Consulter mon solde,
reload_card,Recharger ma carte,
card_security,Securite de la carte,
payment_failed,Probleme de paiement,
contact_support,Contacter le support,
ask_help_card,Aide sur les cartes,
why_neero,Pourquoi Neero,
get_user_info,Rechercher un utilisateur,
virtual_card_help,Aide carte virtuelle,
physical_card_help,Aide carte physique,
bot_challenge,C'est un robot ?,
cant_help,Je ne suis pas aide,
chitchat,Discussion legere,
thank,Remercier,
